iter	Passed	Remaining
410	2680	10363
411	2684	10346
412	2688	10329
413	2691	10310
414	2695	10296
415	2699	10278
416	2705	10271
417	2708	10252
418	2712	10235
419	2716	10220
420	2720	10201
421	2723	10183
422	2727	10166
423	2731	10154
424	2736	10142
425	2740	10126
426	2744	10110
427	2747	10092
428	2752	10077
429	2756	10062
430	2759	10046
431	2764	10032
432	2768	10018
433	2772	10003
434	2775	9986
435	2778	9968
436	2783	9954
437	2786	9937
438	2790	9924
439	2800	9930
440	2811	9939
441	2817	9932
442	2822	9919
443	2825	9902
444	2828	9885
445	2832	9869
446	2836	9854
447	2840	9840
448	2844	9826
449	2848	9812
450	2852	9795
451	2857	9784
452	2862	9774
453	2866	9760
454	2872	9753
455	2876	9739
456	2880	9724
457	2884	9709
458	2887	9695
459	2891	9678
460	2894	9663
461	2898	9648
462	2902	9633
463	2905	9619
464	2910	9606
465	2913	9590
466	2916	9574
467	2920	9558
468	2923	9543
469	2927	9529
470	2932	9519
471	2937	9508
472	2941	9495
473	2945	9484
474	2950	9472
475	2955	9462
476	2959	9448
477	2964	9438
478	2973	9443
479	2977	9429
480	2981	9415
481	2984	9400
482	2988	9385
483	2992	9372
484	2996	9359
485	2999	9345
486	3005	9338
487	3009	9324
488	3013	9312
489	3016	9297
490	3020	9282
491	3024	9269
492	3027	9253
493	3031	9240
494	3035	9229
495	3039	9215
496	3042	9201
497	3046	9187
498	3050	9176
499	3054	9164
500	3058	9151
501	3062	9140
502	3067	9128
503	3071	9118
504	3075	9104
505	3079	9092
506	3082	9077
507	3086	9066
508	3090	9052
509	3093	9039
510	3098	9029
511	3102	9016
512	3106	9004
513	3110	8992
514	3114	8981
515	3119	8971
516	3123	8960
517	3133	8963
518	3145	8974
519	3149	8963
520	3152	8949
521	3155	8935
522	3159	8921
523	3162	8907
524	3166	8896
525	3170	8883
526	3173	8870
527	3178	8861
528	3183	8851
529	3188	8842
530	3192	8830
531	3196	8819
532	3199	8807
533	3204	8796
534	3208	8784
535	3212	8774
536	3216	8764
537	3220	8752
538	3225	8741
539	3228	8729
540	3232	8716
541	3235	8703
542	3240	8694
543	3244	8684
